IYO_000005	PSPTO_0001
IYO_000685	PSPTO_0095
IYO_000690	PSPTO_0092
IYO_000695	PSPTO_0091
IYO_000700	PSPTO_0090
IYO_000705	PSPTO_0089
IYO_000710	PSPTO_0087
IYO_000715	PSPTO_0086
IYO_000720	PSPTO_0085
IYO_000725	PSPTO_0084
IYO_000730	PSPTO_0083
IYO_000735	PSPTO_0082
IYO_000740	PSPTO_0081
IYO_000745	PSPTO_0080
IYO_000750	PSPTO_0079
IYO_000755	PSPTO_0078
IYO_000760	PSPTO_0077
IYO_000765	PSPTO_0076
IYO_000770	PSPTO_0075
IYO_000775	PSPTO_0074
IYO_000780	PSPTO_0073
IYO_000785	PSPTO_0072
IYO_000790	PSPTO_0071
IYO_000795	PSPTO_0070
IYO_000805	PSPTO_0069
IYO_000810	PSPTO_0068
IYO_000815	PSPTO_0067
IYO_000820	PSPTO_0066
IYO_000825	PSPTO_0065
IYO_000830	PSPTO_0064
IYO_000835	PSPTO_0063
IYO_000840	PSPTO_0062
IYO_000845	PSPTO_0061
IYO_000850	PSPTO_3724
IYO_000875	PSPTO_1037
IYO_000880	PSPTO_0206
IYO_000885	PSPTO_0208
IYO_000890	PSPTO_0209
IYO_000895	PSPTO_0210
IYO_000900	PSPTO_0211
IYO_000905	PSPTO_0212
IYO_000910	PSPTO_0256
IYO_000920	PSPTO_2477
IYO_000925	PSPTO_0211
IYO_000930	PSPTO_2487
IYO_000935	PSPTO_5180
IYO_000945	PSPTO_2913
IYO_000950	PSPTO_2937
IYO_000955	PSPTO_0214
IYO_000960	PSPTO_0215
IYO_000965	PSPTO_0217
IYO_000970	PSPTO_0218
IYO_000975	PSPTO_2343
IYO_000980	PSPTO_0219
IYO_000985	PSPTO_0220
IYO_000995	PSPTO_0221
IYO_001000	PSPTO_0222
IYO_001005	PSPTO_0223
IYO_001010	PSPTO_0224
IYO_001015	PSPTO_0225
IYO_001020	PSPTO_0226
IYO_001025	PSPTO_0227
IYO_001030	PSPTO_0228
IYO_001035	PSPTO_0229
IYO_001040	PSPTO_0230
IYO_001045	PSPTO_0231
IYO_001050	PSPTO_0232
IYO_001055	PSPTO_0233
IYO_001060	PSPTO_0234
IYO_001065	PSPTO_0235
IYO_001070	PSPTO_0236
IYO_001075	PSPTO_0237
IYO_001080	PSPTO_0238
IYO_001085	PSPTO_0239
IYO_001090	PSPTO_4346
IYO_001105	PSPTO_5645
IYO_001110	PSPTO_0992
IYO_001115	PSPTO_0242
IYO_001120	PSPTO_0243
IYO_001130	PSPTO_0244
IYO_001135	PSPTO_0245
IYO_001140	PSPTO_0247
IYO_001145	PSPTO_0248
IYO_001150	PSPTO_0249
IYO_001155	PSPTO_0250
IYO_001160	PSPTO_0251
IYO_001165	PSPTO_0252
IYO_001170	PSPTO_0253
IYO_001175	PSPTO_0254
IYO_001180	PSPTO_0255
IYO_001185	PSPTO_0256
IYO_001190	PSPTO_0257
IYO_001205	PSPTO_0258
IYO_001210	PSPTO_0259
IYO_001215	PSPTO_0260
IYO_001220	PSPTO_0261
IYO_001225	PSPTO_0262
IYO_001230	PSPTO_0263
IYO_001235	PSPTO_0264
IYO_001240	PSPTO_0265
IYO_001245	PSPTO_0266
IYO_001250	PSPTO_0267
IYO_001255	PSPTO_0268
IYO_001260	PSPTO_0269
IYO_001265	PSPTO_0270
IYO_001270	PSPTO_0271
IYO_001275	PSPTO_0272
IYO_001280	PSPTO_0273
IYO_001285	PSPTO_0274
IYO_001290	PSPTO_0276
IYO_001295	PSPTO_4695
IYO_001300	PSPTO_4696
IYO_001305	PSPTO_4221
IYO_001330	PSPTO_5374
IYO_001360	PSPTO_0046
IYO_001365	PSPTO_3029
IYO_001370	PSPTO_0014
IYO_001375	PSPTO_4057
IYO_001380	PSPTO_4511
IYO_001410	PSPTO_1980
IYO_001420	PSPTO_3026
IYO_001425	PSPTO_3025
IYO_001465	PSPTO_2739
IYO_001470	PSPTO_4547
IYO_001500	PSPTO_3419
IYO_001530	PSPTO_0339
IYO_001545	PSPTO_4007
IYO_001550	PSPTO_4006
IYO_001560	PSPTO_4004
IYO_001565	PSPTO_4003
IYO_001585	PSPTO_2995
IYO_001605	PSPTO_1903
IYO_001610	PSPTO_5363
IYO_001620	PSPTO_5362
IYO_001625	PSPTO_5361
IYO_001630	PSPTO_5360
IYO_001635	PSPTO_5359
IYO_001640	PSPTO_5358
IYO_001645	PSPTO_5357
IYO_001650	PSPTO_5356
IYO_001655	PSPTO_5355
IYO_001660	PSPTO_5354
IYO_001670	PSPTO_5343
IYO_001675	PSPTO_5342
IYO_001680	PSPTO_5341
IYO_001685	PSPTO_5340
IYO_001690	PSPTO_5339
IYO_001695	PSPTO_5338
IYO_001700	PSPTO_5337
IYO_001705	PSPTO_5336
IYO_001710	PSPTO_5335
IYO_001715	PSPTO_5334
IYO_001720	PSPTO_5332
IYO_001725	PSPTO_5331
IYO_001735	PSPTO_5331
IYO_001740	PSPTO_5330
IYO_001745	PSPTO_5329
IYO_001750	PSPTO_5328
IYO_001755	PSPTO_5327
IYO_001760	PSPTO_5326
IYO_001765	PSPTO_5325
IYO_001770	PSPTO_5324
IYO_001775	PSPTO_5323
IYO_001780	PSPTO_5322
IYO_001785	PSPTO_5321
IYO_001790	PSPTO_5320
IYO_001795	PSPTO_5319
IYO_001800	PSPTO_5318
IYO_001810	PSPTO_0318
IYO_001815	PSPTO_0319
IYO_001820	PSPTO_0320
IYO_001825	PSPTO_0321
IYO_001830	PSPTO_0322
IYO_001835	PSPTO_0323
IYO_001840	PSPTO_0324
IYO_001845	PSPTO_0325
IYO_001850	PSPTO_0326
IYO_001855	PSPTO_0327
IYO_001860	PSPTO_0328
IYO_001865	PSPTO_0329
IYO_001870	PSPTO_0330
IYO_001875	PSPTO_1848
IYO_001880	PSPTO_0332
IYO_001885	PSPTO_0333
IYO_001890	PSPTO_0334
IYO_001895	PSPTO_0335
IYO_001900	PSPTO_0336
IYO_001905	PSPTO_0337
IYO_001910	PSPTO_0338
IYO_001915	PSPTO_0339
IYO_001920	PSPTO_0340
IYO_001925	PSPTO_0341
IYO_001930	PSPTO_0343
IYO_001935	PSPTO_0344
IYO_001940	PSPTO_0345
IYO_001945	PSPTO_0346
IYO_001950	PSPTO_0347
IYO_001955	PSPTO_2605
IYO_001960	PSPTO_0349
IYO_001965	PSPTO_0350
IYO_001970	PSPTO_0351
IYO_001975	PSPTO_0352
IYO_001980	PSPTO_0353
IYO_001985	PSPTO_0355
IYO_001990	PSPTO_0356
IYO_001995	PSPTO_0357
IYO_002000	PSPTO_0359
IYO_002005	PSPTO_0360
IYO_002010	PSPTO_0361
IYO_002015	PSPTO_0362
IYO_002020	PSPTO_0363
IYO_002025	PSPTO_0364
IYO_002030	PSPTO_0365
IYO_002035	PSPTO_0366
IYO_002040	PSPTO_0367
IYO_002045	PSPTO_3289
IYO_002050	PSPTO_0369
IYO_002055	PSPTO_0370
IYO_002060	PSPTO_0371
IYO_002085	PSPTO_3486
IYO_002090	PSPTO_5436
IYO_002095	PSPTO_0375
IYO_002100	PSPTO_0376
IYO_002105	PSPTO_0377
IYO_002110	PSPTO_0378
IYO_002115	PSPTO_0379
IYO_002120	PSPTO_0380
IYO_002125	PSPTO_0381
IYO_002130	PSPTO_0382
IYO_002135	PSPTO_0383
IYO_002140	PSPTO_0384
IYO_002145	PSPTO_0385
IYO_002150	PSPTO_0386
IYO_002155	PSPTO_0387
IYO_002160	PSPTO_0388
IYO_002165	PSPTO_0389
IYO_002170	PSPTO_0390
IYO_002175	PSPTO_0391
IYO_002180	PSPTO_0393
IYO_002185	PSPTO_0394
IYO_002190	PSPTO_0395
IYO_002195	PSPTO_0396
IYO_002200	PSPTO_0397
IYO_002205	PSPTO_0398
IYO_002210	PSPTO_0399
IYO_002215	PSPTO_0400
IYO_002225	PSPTO_4511
IYO_002235	PSPTO_3930
IYO_002250	PSPTO_0536
IYO_002255	PSPTO_0537
IYO_002260	PSPTO_0538
IYO_002265	PSPTO_0539
IYO_002270	PSPTO_0540
IYO_002275	PSPTO_0541
IYO_002280	PSPTO_0542
IYO_002285	PSPTO_0543
IYO_002290	PSPTO_0544
IYO_002295	PSPTO_0545
IYO_002300	PSPTO_0546
IYO_002305	PSPTO_0547
IYO_002310	PSPTO_0548
IYO_002315	PSPTO_0549
IYO_002320	PSPTO_0550
IYO_002325	PSPTO_0551
IYO_002330	PSPTO_0552
IYO_002335	PSPTO_0553
IYO_002340	PSPTO_0554
IYO_002345	PSPTO_0555
IYO_002350	PSPTO_0556
IYO_002355	PSPTO_0557
IYO_002360	PSPTO_0558
IYO_002365	PSPTO_0559
IYO_002370	PSPTO_0560
IYO_002375	PSPTO_0562
IYO_002380	PSPTO_0563
IYO_002385	PSPTO_0564
IYO_002390	PSPTO_0565
IYO_002395	PSPTO_0566
IYO_002400	PSPTO_0567
IYO_002405	PSPTO_0568
IYO_002410	PSPTO_0569
IYO_002420	PSPTO_0570
IYO_002425	PSPTO_4131
IYO_002430	PSPTO_0571
IYO_002440	PSPTO_1453
IYO_002450	PSPTO_0573
IYO_002455	PSPTO_0574
IYO_002460	PSPTO_0575
IYO_002465	PSPTO_0576
IYO_002470	PSPTO_0577
IYO_002475	PSPTO_0578
IYO_002480	PSPTO_0579
IYO_002485	PSPTO_0580
IYO_002490	PSPTO_0581
IYO_002520	PSPTO_3398
IYO_002525	PSPTO_3397
IYO_002530	PSPTO_3389
IYO_002540	PSPTO_0592
IYO_002545	PSPTO_0593
IYO_002550	PSPTO_0594
IYO_002555	PSPTO_0595
IYO_002560	PSPTO_0596
IYO_002565	PSPTO_0597
IYO_002570	PSPTO_0598
IYO_002575	PSPTO_0599
IYO_002580	PSPTO_0600
IYO_002585	PSPTO_0601
IYO_002590	PSPTO_0602
IYO_002595	PSPTO_0603
IYO_002600	PSPTO_0604
IYO_002605	PSPTO_0605
IYO_002610	PSPTO_0606
IYO_002615	PSPTO_0607
IYO_002620	PSPTO_0609
IYO_002650	PSPTO_0610
IYO_002655	PSPTO_0611
IYO_002660	PSPTO_0612
IYO_002685	PSPTO_0613
IYO_002690	PSPTO_0614
IYO_002695	PSPTO_0615
IYO_002700	PSPTO_0616
IYO_002705	PSPTO_0617
IYO_002710	PSPTO_0618
IYO_002715	PSPTO_0619
IYO_002720	PSPTO_0620
IYO_002725	PSPTO_0621
IYO_002730	PSPTO_0622
IYO_002735	PSPTO_0623
IYO_002740	PSPTO_0624
IYO_002745	PSPTO_0625
IYO_002750	PSPTO_0626
IYO_002755	PSPTO_0627
IYO_002760	PSPTO_0628
IYO_002765	PSPTO_0629
IYO_002770	PSPTO_0630
IYO_002775	PSPTO_0631
IYO_002780	PSPTO_0632
IYO_002785	PSPTO_0633
IYO_002790	PSPTO_0634
IYO_002795	PSPTO_0635
IYO_002800	PSPTO_0636
IYO_002805	PSPTO_0637
IYO_002810	PSPTO_0638
IYO_002815	PSPTO_0639
IYO_002820	PSPTO_0640
IYO_002825	PSPTO_0641
IYO_002830	PSPTO_0642
IYO_002835	PSPTO_0643
IYO_002840	PSPTO_0644
IYO_002845	PSPTO_0645
IYO_002850	PSPTO_0646
IYO_002855	PSPTO_0648
IYO_002860	PSPTO_0649
IYO_002865	PSPTO_0650
IYO_002870	PSPTO_0651
IYO_002875	PSPTO_0652
IYO_002880	PSPTO_0653
IYO_002885	PSPTO_0654
IYO_002890	PSPTO_0655
IYO_002895	PSPTO_0656
IYO_002900	PSPTO_0657
IYO_002905	PSPTO_0659
IYO_002910	PSPTO_0660
IYO_002915	PSPTO_0661
IYO_002920	PSPTO_0662
IYO_002925	PSPTO_0663
IYO_002930	PSPTO_0664
IYO_002935	PSPTO_0665
IYO_002940	PSPTO_0666
IYO_002945	PSPTO_1813
IYO_002950	PSPTO_0667
IYO_002955	PSPTO_0668
IYO_002960	PSPTO_0671
IYO_002965	PSPTO_0672
IYO_002970	PSPTO_0673
IYO_002975	PSPTO_0674
IYO_002985	PSPTO_0675
IYO_002990	PSPTO_0676
IYO_002995	PSPTO_0677
IYO_003000	PSPTO_0678
IYO_003005	PSPTO_0679
IYO_003010	PSPTO_0680
IYO_003015	PSPTO_0681
IYO_003020	PSPTO_0682
IYO_003025	PSPTO_0683
IYO_003030	PSPTO_0684
IYO_003035	PSPTO_0685
IYO_003040	PSPTO_0686
IYO_003050	PSPTO_0688
IYO_003055	PSPTO_0689
IYO_003060	PSPTO_0690
IYO_003065	PSPTO_0691
IYO_003070	PSPTO_0692
IYO_003075	PSPTO_0693
IYO_003080	PSPTO_0694
IYO_003085	PSPTO_0695
IYO_003090	PSPTO_0696
IYO_003095	PSPTO_0697
IYO_003100	PSPTO_0698
IYO_003105	PSPTO_0699
IYO_003110	PSPTO_0700
IYO_003115	PSPTO_0701
IYO_003120	PSPTO_0702
IYO_003125	PSPTO_0703
IYO_003135	PSPTO_0704
IYO_003140	PSPTO_0705
IYO_003165	PSPTO_0721
IYO_003170	PSPTO_0722
IYO_003175	PSPTO_0723
IYO_003180	PSPTO_0724
IYO_003190	PSPTO_0726
IYO_003195	PSPTO_0727
IYO_003200	PSPTO_0728
IYO_003210	PSPTO_0729
IYO_003215	PSPTO_0730
IYO_003220	PSPTO_0731
IYO_003225	PSPTO_0732
IYO_003230	PSPTO_0733
IYO_003235	PSPTO_0734
IYO_003240	PSPTO_0735
IYO_003245	PSPTO_0736
IYO_003250	PSPTO_0737
IYO_003255	PSPTO_0738
IYO_003260	PSPTO_0739
IYO_003265	PSPTO_0740
IYO_003270	PSPTO_0741
IYO_003275	PSPTO_0742
IYO_003280	PSPTO_0743
IYO_003285	PSPTO_0744
IYO_003290	PSPTO_0745
IYO_003295	PSPTO_0746
IYO_003300	PSPTO_0747
IYO_003305	PSPTO_0748
IYO_003310	PSPTO_0749
IYO_003315	PSPTO_0750
IYO_003320	PSPTO_0751
IYO_003325	PSPTO_0752
IYO_003330	PSPTO_0753
IYO_003335	PSPTO_0754
IYO_003340	PSPTO_0755
IYO_003345	PSPTO_0756
IYO_003350	PSPTO_0757
IYO_003355	PSPTO_0758
IYO_003360	PSPTO_0759
IYO_003365	PSPTO_0760
IYO_003370	PSPTO_0761
IYO_003375	PSPTO_0762
IYO_003380	PSPTO_0763
IYO_003385	PSPTO_0764
IYO_003395	PSPTO_0765
IYO_003400	PSPTO_0766
IYO_003405	PSPTO_0767
IYO_003425	PSPTO_0769
IYO_003430	PSPTO_0770
IYO_003435	PSPTO_0771
IYO_003440	PSPTO_0772
IYO_003445	PSPTO_0773
IYO_003450	PSPTO_0774
IYO_003455	PSPTO_0775
IYO_003485	PSPTO_0776
IYO_003490	PSPTO_0777
IYO_003495	PSPTO_0778
IYO_003500	PSPTO_0779
IYO_003515	PSPTO_1707
IYO_003520	PSPTO_2538
IYO_003525	PSPTO_0877
IYO_003530	PSPTO_0876
IYO_003535	PSPTO_5621
IYO_003550	PSPTO_2618
IYO_003565	PSPTO_1716
IYO_003580	PSPTO_1999
IYO_003590	PSPTO_5090
IYO_003615	PSPTO_0589
IYO_003630	PSPTO_0503
IYO_003635	PSPTO_0502
IYO_003640	PSPTO_2319
IYO_003650	PSPTO_0878
IYO_003660	PSPTO_0009
IYO_003665	PSPTO_0503
IYO_003675	PSPTO_0502
IYO_003680	PSPTO_1568
IYO_003685	PSPTO_2319
IYO_003700	PSPTO_4717
IYO_003705	PSPTO_5621
IYO_003720	PSPTO_4722
IYO_003725	PSPTO_0503
IYO_003727	PSPTO_0502
IYO_003745	PSPTO_2842
IYO_003750	PSPTO_2841
IYO_003780	PSPTO_2135
IYO_003785	PSPTO_2588
IYO_003790	PSPTO_4699
IYO_003795	PSPTO_0871
IYO_003800	PSPTO_2137
IYO_003805	PSPTO_4699
IYO_003815	PSPTO_5075
IYO_003820	PSPTO_3553
IYO_003825	PSPTO_2585
IYO_003830	PSPTO_2190
IYO_003835	PSPTO_0975
IYO_003860	PSPTO_4673
IYO_003865	PSPTO_4670
IYO_003870	PSPTO_4669
IYO_003875	PSPTO_4668
IYO_003880	PSPTO_4667
IYO_003885	PSPTO_4666
IYO_003890	PSPTO_4665
IYO_003895	PSPTO_4664
IYO_003900	PSPTO_4663
IYO_003905	PSPTO_4662
IYO_003910	PSPTO_4661
IYO_003915	PSPTO_4660
IYO_003920	PSPTO_4659
IYO_003925	PSPTO_4658
IYO_003930	PSPTO_4657
IYO_003935	PSPTO_4656
IYO_003940	PSPTO_4654
IYO_003945	PSPTO_4653
IYO_003950	PSPTO_4652
IYO_003955	PSPTO_4651
IYO_003960	PSPTO_4650
IYO_003965	PSPTO_4648
IYO_003970	PSPTO_4647
IYO_003975	PSPTO_4646
IYO_003980	PSPTO_4645
IYO_003985	PSPTO_4644
IYO_003990	PSPTO_4642
IYO_003995	PSPTO_4641
IYO_004000	PSPTO_4640
IYO_004005	PSPTO_4639
IYO_004010	PSPTO_4638
IYO_004015	PSPTO_4637
IYO_004020	PSPTO_4636
IYO_004025	PSPTO_4632
IYO_004030	PSPTO_4631
IYO_004035	PSPTO_4602
IYO_004040	PSPTO_4601
IYO_004045	PSPTO_4600
IYO_004050	PSPTO_4589
IYO_004052	PSPTO_4588
IYO_004055	PSPTO_4587
IYO_004060	PSPTO_4586
IYO_004065	PSPTO_4585
IYO_004070	PSPTO_4584
IYO_004075	PSPTO_4583
IYO_004080	PSPTO_4582
IYO_004085	PSPTO_4581
IYO_004090	PSPTO_4580
IYO_004095	PSPTO_4579
IYO_004100	PSPTO_4578
IYO_004105	PSPTO_4577
IYO_004110	PSPTO_4576
IYO_004115	PSPTO_4575
IYO_004130	PSPTO_4572
IYO_004135	PSPTO_4571
IYO_004140	PSPTO_4570
IYO_004145	PSPTO_4569
IYO_004150	PSPTO_2572
IYO_004155	PSPTO_4564
IYO_004160	PSPTO_4563
IYO_004165	PSPTO_4562
IYO_004170	PSPTO_4561
IYO_004175	PSPTO_4560
IYO_004180	PSPTO_4559
IYO_004185	PSPTO_4558
IYO_004190	PSPTO_4557
IYO_004195	PSPTO_4556
IYO_004200	PSPTO_4555
IYO_004205	PSPTO_4554
IYO_004210	PSPTO_4553
IYO_004215	PSPTO_4551
IYO_004220	PSPTO_4550
IYO_004225	PSPTO_4549
IYO_004230	PSPTO_4548
IYO_004235	PSPTO_4547
IYO_004240	PSPTO_4546
IYO_004250	PSPTO_4545
IYO_004255	PSPTO_4544
IYO_004260	PSPTO_4543
IYO_004265	PSPTO_4542
IYO_004270	PSPTO_4541
IYO_004275	PSPTO_4540
IYO_004280	PSPTO_4539
IYO_004285	PSPTO_4538
IYO_004290	PSPTO_4537
IYO_004295	PSPTO_4536
IYO_004300	PSPTO_4535
IYO_004305	PSPTO_4534
IYO_004310	PSPTO_4533
IYO_004315	PSPTO_4531
IYO_004320	PSPTO_4530
IYO_004325	PSPTO_3573
IYO_004335	PSPTO_4696
IYO_004340	PSPTO_4695
IYO_004345	PSPTO_0781
IYO_004350	PSPTO_0782
IYO_004355	PSPTO_0783
IYO_004360	PSPTO_0784
IYO_004365	PSPTO_0785
IYO_004370	PSPTO_0786
IYO_004375	PSPTO_0787
IYO_004380	PSPTO_0788
IYO_004385	PSPTO_0789
IYO_004390	PSPTO_0790
IYO_004395	PSPTO_0791
IYO_004400	PSPTO_0793
IYO_004405	PSPTO_0794
IYO_004410	PSPTO_0795
IYO_004415	PSPTO_0796
IYO_004420	PSPTO_0797
IYO_004425	PSPTO_0798
IYO_004430	PSPTO_0799
IYO_004435	PSPTO_0800
IYO_004440	PSPTO_0801
IYO_004445	PSPTO_3966
IYO_004450	PSPTO_3326
IYO_004455	PSPTO_5591
IYO_004485	PSPTO_4345
IYO_004490	PSPTO_4903
IYO_004495	PSPTO_4902
IYO_004500	PSPTO_4901
IYO_004505	PSPTO_4900
IYO_004510	PSPTO_4899
IYO_004515	PSPTO_4898
IYO_004520	PSPTO_4897
IYO_004525	PSPTO_4896
IYO_004535	PSPTO_4895
IYO_004540	PSPTO_4894
IYO_004545	PSPTO_4893
IYO_004550	PSPTO_4892
IYO_004555	PSPTO_4891
IYO_004560	PSPTO_4890
IYO_004565	PSPTO_4889
IYO_004570	PSPTO_4888
IYO_004575	PSPTO_4887
IYO_004580	PSPTO_4886
IYO_004585	PSPTO_4885
IYO_004590	PSPTO_4511
IYO_004610	PSPTO_4511
IYO_004615	PSPTO_4884
IYO_004620	PSPTO_4883
IYO_004625	PSPTO_4882
IYO_004630	PSPTO_4881
IYO_004635	PSPTO_0262
IYO_004640	PSPTO_0209
IYO_004650	PSPTO_4880
IYO_004655	PSPTO_4879
IYO_004660	PSPTO_4878
IYO_004665	PSPTO_4877
IYO_004670	PSPTO_4876
IYO_004675	PSPTO_4875
IYO_004680	PSPTO_4874
IYO_004685	PSPTO_4873
IYO_004690	PSPTO_3326
IYO_004695	PSPTO_4872
IYO_004700	PSPTO_4870
IYO_004705	PSPTO_4869
IYO_004710	PSPTO_4868
IYO_004715	PSPTO_4867
IYO_004720	PSPTO_4866
IYO_004725	PSPTO_4865
IYO_004730	PSPTO_4864
IYO_004735	PSPTO_4863
IYO_004740	PSPTO_4862
IYO_004745	PSPTO_4861
IYO_004750	PSPTO_4860
IYO_004755	PSPTO_4859
IYO_004760	PSPTO_4858
IYO_004765	PSPTO_4857
IYO_004770	PSPTO_4856
IYO_004775	PSPTO_4855
IYO_004780	PSPTO_4854
IYO_004785	PSPTO_4853
IYO_004790	PSPTO_4852
IYO_004795	PSPTO_4851
IYO_004800	PSPTO_4850
IYO_004805	PSPTO_4849
IYO_004810	PSPTO_4848
IYO_004815	PSPTO_4847
IYO_004820	PSPTO_4846
IYO_004830	PSPTO_4511
IYO_004840	PSPTO_4845
IYO_004845	PSPTO_4845
IYO_004850	PSPTO_4844
IYO_004855	PSPTO_4843
IYO_004860	PSPTO_4842
IYO_004865	PSPTO_4841
IYO_004870	PSPTO_4840
IYO_004875	PSPTO_4839
IYO_004880	PSPTO_4837
IYO_004885	PSPTO_4836
IYO_004890	PSPTO_4835
IYO_004895	PSPTO_4834
IYO_004900	PSPTO_4833
IYO_004905	PSPTO_4832
IYO_004910	PSPTO_4831
IYO_004915	PSPTO_4830
IYO_004920	PSPTO_4829
IYO_004925	PSPTO_4828
IYO_004930	PSPTO_4827
IYO_004935	PSPTO_4826
IYO_004940	PSPTO_4825
IYO_004945	PSPTO_4824
IYO_004950	PSPTO_4823
IYO_004955	PSPTO_4822
IYO_004965	PSPTO_4821
IYO_004970	PSPTO_4820
IYO_004975	PSPTO_4819
IYO_004980	PSPTO_4818
IYO_004985	PSPTO_4817
IYO_004990	PSPTO_4816
IYO_004995	PSPTO_3326
IYO_005005	PSPTO_4814
IYO_005010	PSPTO_4813
IYO_005015	PSPTO_4812
IYO_005020	PSPTO_4810
IYO_005025	PSPTO_4809
IYO_005030	PSPTO_4808
IYO_005035	PSPTO_4807
IYO_005040	PSPTO_4806
IYO_005045	PSPTO_4805
IYO_005050	PSPTO_4804
IYO_005055	PSPTO_4803
IYO_005060	PSPTO_4802
IYO_005065	PSPTO_4800
IYO_005070	PSPTO_4799
IYO_005075	PSPTO_4798
IYO_005080	PSPTO_4796
IYO_005085	PSPTO_4795
IYO_005090	PSPTO_4794
IYO_005095	PSPTO_4793
IYO_005105	PSPTO_4791
IYO_005110	PSPTO_4790
IYO_005115	PSPTO_4789
IYO_005120	PSPTO_4788
IYO_005125	PSPTO_4782
IYO_005130	PSPTO_4781
IYO_005135	PSPTO_4780
IYO_005140	PSPTO_4779
IYO_005145	PSPTO_4778
IYO_005150	PSPTO_4511
IYO_005160	PSPTO_4776
IYO_005165	PSPTO_4773
IYO_005170	PSPTO_2842
IYO_005175	PSPTO_2841
IYO_005180	PSPTO_4735
IYO_005195	PSPTO_4696
IYO_005200	PSPTO_4695
IYO_005210	PSPTO_0057
IYO_005220	PSPTO_4586
IYO_005240	PSPTO_3966
IYO_005245	PSPTO_3326
IYO_005250	PSPTO_5591
IYO_005285	PSPTO_5585
