,AmgR,ArcZ,C0664,ChiX,CsrB,CsrC,CyaR,DapZ,DsrA,FnrS,GcvB,GlmY,GlmZ,InvR,IsrA,IsrB‑1,IsrB‑2,IsrC,IsrD,IsrF,IsrG,IsrH_1_2,IsrI,IsrJ,IsrK,IsrL,IsrM,IsrN,IsrO,IsrP,IsrQ,IstR‑1_2,MgrR,MicA,MicC,MicF,OmrA,OmrB,OxyS,RprA,RseX,RybA,RybB,RybD,RydB,RydC,RyeC,RyeF,RyfA,RygC,RygD,RyhB‑1,RyhB‑2,RyjB,SdsR,SgrS,Spf,SraA,SraB,SraC,SraF,SraG,SraL,sRNA1,sRNA10,sRNA12,sRNA3,sRNA9,SroA,SroC,SroG,SsrS,STnc070,STnc1010,STnc1030,STnc1040,STnc1060,STnc1080,STnc1090,STnc1110,STnc1130,STnc1150,STnc1160,STnc1170,STnc1180,STnc1200,STnc1210,STnc1220,STnc1270,STnc1280,STnc1290,STnc1300,STnc1310,STnc1320,STnc1330,STnc1340,STnc1380,STnc1390,STnc1400,STnc1410,STnc1420,STnc1430,STnc1460,STnc1470,STnc1480,STnc150,STnc1500,STnc1510,STnc1530,STnc1540,STnc1550,STnc1560,STnc1590,STnc1600,STnc1640,STnc1650,STnc1660,STnc1670,STnc1690,STnc1700,STnc1710,STnc1740,STnc1760,STnc1820,STnc1830,STnc1860,STnc1870,STnc1880,STnc1890,STnc1920,STnc1990,STnc200,STnc2010,STnc2030,STnc2040,STnc2050,STnc2070,STnc2080,STnc2090,STnc2100,STnc2110,STnc2130,STnc2160,STnc2170,STnc2180,STnc290,STnc3000,STnc3010,STnc3020,STnc3030,STnc3040,STnc3050,STnc3060,STnc3070,STnc3080,STnc3090,STnc310,STnc3100,STnc3110,STnc3120,STnc3130,STnc3140,STnc3150,STnc3160,STnc3170,STnc3180,STnc3200,STnc3210,STnc3220,STnc3230,STnc3240,STnc3250,STnc3270,STnc3280,STnc3290,STnc3300,STnc3310,STnc3330,STnc3340,STnc3350,STnc3390,STnc340,STnc3400,STnc3410,STnc3420,STnc3430,STnc3440,STnc3460,STnc3480,STnc3490,STnc350,STnc3500,STnc3510,STnc3530,STnc3540,STnc3550,STnc3570,STnc3580,STnc3600,STnc3610,STnc3620,STnc3630,STnc3640,STnc3680,STnc3700,STnc3720,STnc3730,STnc3740,STnc3750,STnc3760,STnc3770,STnc3790,STnc380,STnc3800,STnc3830,STnc3850,STnc3860,STnc3870,STnc3880,STnc3890,STnc3920,STnc3950,STnc3960,STnc3970,STnc3990,STnc400,STnc4000,STnc4010,STnc4020,STnc4040,STnc4070,STnc4080,STnc4100,STnc4110,STnc4120,STnc4130,STnc4140,STnc4150,STnc4160,STnc4170,STnc4180,STnc4190,STnc4200,STnc4210,STnc4220,STnc4230,STnc4240,STnc4250,STnc4260,STnc440,STnc470,STnc480,STnc490,STnc500,STnc520,STnc540,STnc630,STnc700,STnc710,STnc740,STnc750,STnc760,STnc770,STnc780,STnc790,STnc800,STnc810,STnc840,STnc850,STnc870,STnc880,STnc890,STnc920,STnc930,STnc950,STnc980,t44,tp2,tpke11,tpke70
CP010441,NA,NA,67,75,88,89,94,NA,90,98,95,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,85,93,78,98,99,89,86,96,NA,81,99,NA,91,81,86,84,74,73,86,78,NA,84,96,74,98,87,92,74,88,92,94,NA,83,82,86,NA,92,81,88,92,NA,NA,NA,82,83,NA,75,69,NA,NA,NA,NA,83,NA,NA,NA,80,NA,NA,NA,NA,NA,78,100,NA,NA,NA,NA,87,81,NA,75,NA,NA,NA,NA,NA,81,NA,82,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,52,NA,73,NA,NA,NA,NA,NA,78,68,NA,71,NA,78,NA,94,79,NA,97,NA,NA,98,NA,86,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,70,NA,70,72,NA,NA,73,NA,NA,NA,NA,61,NA,76,NA,NA,NA,78,NA,80,NA,NA,NA,82,NA,NA,64,NA,NA,NA,64,NA,NA,NA,NA,75,NA,86,58,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,74,84,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,69,NA,NA,78,NA,NA,85,NA,NA,NA,NA,NA,75,71,NA,NA,86,87,NA,95,NA,NA,NA,87,NA,NA,74,NA,74,94,83,77,NA,NA,NA,NA,57,56,NA,78,91,98,89,NA,86,72,NA,NA,94,85,81,81
CP010442,NA,NA,67,75,88,89,94,NA,90,98,95,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,85,93,78,98,99,89,86,96,NA,81,99,NA,91,81,86,84,74,73,86,78,NA,84,96,74,98,87,92,74,88,92,94,NA,83,82,86,NA,92,81,88,92,NA,NA,NA,82,83,NA,75,69,NA,NA,NA,NA,83,NA,NA,NA,80,NA,NA,NA,NA,NA,78,100,NA,NA,NA,NA,87,81,NA,75,NA,NA,NA,NA,NA,81,NA,82,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,52,NA,73,NA,NA,NA,NA,NA,78,68,NA,71,NA,78,NA,94,79,NA,97,NA,NA,98,NA,86,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,70,NA,70,72,NA,NA,73,NA,NA,NA,NA,61,NA,76,NA,NA,NA,78,NA,80,NA,NA,NA,82,NA,NA,64,NA,NA,NA,64,NA,NA,NA,NA,75,NA,86,58,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,74,84,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,69,NA,NA,78,NA,NA,85,NA,NA,NA,NA,NA,75,71,NA,NA,86,87,NA,95,NA,NA,NA,87,NA,NA,74,NA,74,94,83,77,NA,NA,NA,NA,57,56,NA,78,91,98,89,NA,86,72,NA,NA,94,85,81,81
CP010443,NA,NA,67,75,88,89,94,NA,90,98,95,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,85,93,78,98,99,89,86,96,NA,81,99,NA,91,81,86,84,74,73,86,78,NA,84,96,74,98,87,92,74,88,92,94,NA,83,82,86,NA,92,81,88,92,NA,NA,NA,82,83,NA,75,69,NA,NA,NA,NA,83,NA,NA,NA,80,NA,NA,NA,NA,NA,78,100,NA,NA,NA,NA,87,81,NA,75,NA,NA,NA,NA,NA,81,NA,82,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,52,NA,73,NA,NA,NA,NA,NA,78,68,NA,71,NA,78,NA,94,79,NA,97,NA,NA,98,NA,86,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,70,NA,70,72,NA,NA,73,NA,NA,NA,NA,61,NA,76,NA,NA,NA,78,NA,80,NA,NA,NA,82,NA,NA,64,NA,NA,NA,64,NA,NA,NA,NA,75,NA,86,58,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,74,84,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,69,NA,NA,78,NA,NA,85,NA,NA,NA,NA,NA,75,71,NA,NA,86,87,NA,95,NA,NA,NA,87,NA,NA,74,NA,74,94,83,77,NA,NA,NA,NA,57,56,NA,78,91,98,89,NA,86,72,NA,NA,94,85,81,81
CP010444,NA,NA,67,75,88,89,94,NA,90,98,95,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,85,93,78,98,99,89,86,96,NA,81,99,NA,91,81,86,84,74,73,86,78,NA,84,96,74,98,87,92,74,88,92,94,NA,83,82,86,NA,92,81,88,92,NA,NA,NA,82,83,NA,75,69,NA,NA,NA,NA,83,NA,NA,NA,80,NA,NA,NA,NA,NA,78,100,NA,NA,NA,NA,87,81,NA,75,NA,NA,NA,NA,NA,81,NA,82,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,52,NA,73,NA,NA,NA,NA,NA,78,68,NA,71,NA,78,NA,94,79,NA,97,NA,NA,98,NA,86,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,70,NA,70,72,NA,NA,73,NA,NA,NA,NA,61,NA,76,NA,NA,NA,78,NA,80,NA,NA,NA,82,NA,NA,64,NA,NA,NA,64,NA,NA,NA,NA,75,NA,86,58,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,74,84,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,69,NA,NA,78,NA,NA,85,NA,NA,NA,NA,NA,75,71,NA,NA,86,87,NA,95,NA,NA,NA,87,NA,NA,74,NA,74,94,83,77,NA,NA,NA,NA,57,56,NA,78,91,98,89,NA,86,72,NA,NA,94,85,81,81
CP010445,NA,90,67,75,88,89,94,NA,90,98,95,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,85,93,78,98,99,89,86,96,NA,81,99,NA,91,81,86,84,74,73,86,78,NA,84,96,74,98,87,92,74,88,92,94,NA,83,82,86,NA,92,81,88,92,NA,NA,NA,82,83,NA,75,69,NA,NA,NA,NA,83,NA,NA,NA,80,NA,NA,NA,NA,NA,78,100,NA,NA,NA,NA,87,81,NA,75,NA,NA,NA,NA,NA,81,NA,82,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,52,NA,73,NA,NA,NA,NA,NA,78,68,NA,71,NA,78,NA,94,79,NA,97,NA,NA,98,NA,86,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,70,NA,70,72,NA,NA,73,NA,NA,NA,NA,61,NA,76,NA,NA,NA,78,NA,80,NA,NA,NA,82,NA,NA,64,NA,NA,NA,64,NA,NA,NA,NA,75,NA,86,58,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,74,84,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,69,NA,NA,78,NA,NA,85,NA,NA,NA,NA,NA,75,71,NA,NA,86,87,NA,95,NA,NA,NA,87,NA,NA,74,NA,74,94,83,77,NA,NA,NA,NA,57,56,NA,78,91,98,89,NA,86,72,NA,NA,94,85,81,81
CP010585,NA,90,71,75,88,89,94,NA,NA,98,95,93,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,86,93,78,NA,99,89,86,96,NA,81,99,NA,90,81,83,84,74,71,87,78,NA,84,96,74,98,NA,92,73,88,92,94,NA,83,83,86,NA,92,80,88,92,NA,NA,NA,82,83,NA,75,70,NA,NA,NA,NA,83,NA,NA,NA,80,NA,NA,NA,NA,69,78,100,NA,NA,NA,NA,89,82,59,76,NA,NA,NA,NA,NA,81,NA,82,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,60,NA,73,NA,NA,NA,NA,NA,79,68,NA,71,NA,78,NA,94,79,NA,97,NA,NA,96,NA,85,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,71,NA,70,69,NA,NA,73,NA,NA,NA,NA,61,NA,76,NA,NA,NA,76,NA,80,NA,NA,NA,82,NA,NA,64,NA,NA,NA,64,NA,NA,NA,NA,75,NA,85,56,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,76,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,67,NA,NA,78,NA,NA,84,NA,NA,NA,NA,NA,71,71,NA,NA,85,87,NA,95,NA,NA,NA,87,NA,NA,74,NA,74,94,89,NA,NA,NA,NA,NA,64,56,NA,78,91,100,89,NA,88,72,NA,NA,94,85,81,81
CP010816,NA,90,71,75,88,89,94,NA,NA,98,95,93,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,86,93,78,NA,99,89,86,96,NA,81,99,NA,90,81,83,84,74,71,87,78,NA,84,96,74,98,NA,92,73,88,92,94,NA,83,83,86,NA,92,80,88,92,NA,NA,NA,82,83,NA,75,70,NA,NA,NA,NA,83,NA,NA,NA,80,NA,NA,NA,NA,69,78,100,NA,NA,NA,NA,89,82,59,76,NA,NA,NA,NA,NA,81,NA,82,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,60,NA,73,NA,NA,NA,NA,NA,79,68,NA,71,NA,78,NA,94,79,NA,97,NA,NA,96,NA,85,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,71,NA,70,69,NA,NA,73,NA,NA,NA,NA,61,NA,76,NA,NA,NA,76,NA,80,NA,NA,NA,82,NA,NA,64,NA,NA,NA,64,NA,NA,NA,NA,75,NA,85,56,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,76,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,67,NA,NA,78,NA,NA,84,NA,NA,NA,NA,NA,71,71,NA,NA,85,87,NA,95,NA,NA,NA,87,NA,NA,74,NA,74,94,89,NA,NA,NA,NA,NA,64,56,NA,78,91,100,89,NA,88,72,NA,NA,94,85,81,81
CP011018,NA,90,67,75,88,89,94,NA,90,98,95,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,86,93,78,97,99,89,86,96,NA,81,99,NA,91,81,86,84,74,72,88,78,NA,NA,96,74,98,87,92,74,88,92,94,NA,83,82,87,NA,92,81,88,92,NA,NA,NA,84,83,NA,75,69,NA,NA,NA,NA,83,76,NA,NA,81,NA,NA,NA,NA,NA,79,100,NA,NA,NA,NA,89,81,NA,NA,NA,NA,NA,NA,NA,82,NA,84,74,NA,77,NA,86,80,NA,NA,NA,NA,NA,59,NA,71,NA,NA,NA,NA,NA,79,NA,NA,71,NA,79,NA,94,79,NA,97,NA,NA,98,NA,85,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,71,NA,70,63,NA,67,73,NA,NA,NA,NA,61,NA,62,58,NA,NA,77,NA,80,NA,NA,NA,82,NA,NA,64,NA,NA,NA,65,NA,NA,NA,NA,75,NA,87,58,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,74,84,60,NA,NA,NA,NA,NA,NA,NA,NA,65,76,67,78,NA,77,NA,NA,85,NA,NA,NA,NA,NA,81,72,NA,NA,85,92,NA,95,NA,NA,NA,87,NA,NA,74,NA,73,94,87,77,NA,NA,NA,NA,57,57,NA,78,91,100,89,NA,88,72,NA,NA,94,85,81,81
CP011134,NA,90,67,75,88,89,94,NA,90,98,95,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,85,93,78,98,99,89,86,96,NA,81,99,NA,91,81,81,84,74,71,87,78,NA,84,96,74,98,87,91,74,88,92,94,NA,83,82,86,NA,92,81,88,92,NA,NA,NA,82,83,NA,75,NA,NA,NA,70,NA,83,NA,NA,NA,80,NA,63,NA,NA,NA,78,100,NA,NA,NA,NA,89,81,NA,76,NA,NA,NA,NA,NA,81,NA,82,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,52,NA,73,NA,NA,NA,NA,NA,78,68,NA,71,NA,78,NA,94,79,NA,97,NA,NA,98,NA,85,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,70,NA,70,72,NA,NA,NA,NA,NA,NA,NA,61,NA,76,NA,NA,NA,78,NA,80,NA,NA,NA,82,NA,NA,64,NA,NA,NA,64,NA,NA,NA,NA,75,NA,86,58,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,75,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,69,78,NA,78,NA,NA,84,NA,NA,NA,NA,NA,71,71,63,NA,86,87,NA,95,NA,NA,NA,87,81,NA,75,NA,74,93,84,77,66,NA,NA,NA,57,56,NA,78,91,98,89,NA,88,72,NA,NA,94,85,81,81
CP011331,NA,90,67,75,88,89,94,NA,90,98,95,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,83,86,93,78,97,99,89,86,96,NA,81,97,NA,90,81,86,84,74,72,88,78,NA,NA,96,74,98,87,92,74,88,92,94,NA,83,82,87,NA,92,81,88,92,NA,NA,NA,84,80,NA,75,66,NA,NA,81,NA,83,NA,NA,NA,81,NA,64,69,NA,NA,78,100,88,NA,NA,NA,89,82,NA,76,NA,NA,NA,NA,NA,81,NA,84,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,54,81,73,79,NA,NA,NA,NA,79,NA,NA,71,NA,79,NA,94,79,NA,97,NA,NA,98,NA,85,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,72,NA,NA,68,NA,67,72,NA,NA,NA,NA,61,NA,51,58,NA,NA,79,NA,80,NA,NA,NA,83,NA,NA,64,NA,NA,NA,65,NA,NA,NA,NA,58,NA,86,58,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,74,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,76,67,NA,NA,78,NA,NA,85,NA,NA,NA,NA,NA,71,72,60,NA,85,87,NA,95,NA,NA,NA,87,92,NA,78,NA,73,94,86,77,NA,NA,NA,NA,61,57,NA,79,91,100,89,NA,88,72,NA,NA,94,85,81,81
CU928145,NA,90,67,75,88,89,94,NA,90,98,95,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,86,93,78,97,99,89,86,96,NA,81,99,NA,90,81,86,84,74,72,88,78,NA,NA,96,74,98,87,92,74,88,92,94,NA,83,82,87,NA,92,81,88,92,NA,NA,NA,84,80,NA,75,66,NA,NA,NA,NA,83,NA,NA,NA,81,NA,51,NA,NA,NA,78,100,88,NA,NA,NA,89,82,NA,76,NA,NA,NA,NA,NA,81,NA,84,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,54,81,73,NA,NA,NA,NA,NA,79,NA,NA,71,NA,79,NA,94,79,NA,97,NA,NA,98,NA,85,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,72,NA,NA,77,NA,67,72,NA,NA,NA,NA,61,NA,51,58,NA,NA,79,NA,80,NA,NA,NA,83,NA,NA,64,NA,NA,NA,65,NA,NA,NA,NA,58,NA,86,58,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,64,NA,NA,NA,64,NA,NA,NA,NA,74,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,76,67,NA,NA,78,NA,NA,85,NA,NA,NA,NA,NA,71,72,NA,NA,85,87,NA,95,NA,NA,NA,87,NA,NA,78,NA,73,94,86,77,NA,NA,NA,NA,61,57,NA,79,91,100,89,NA,88,72,NA,NA,94,85,81,81
CU928158,NA,86,70,75,85,88,97,NA,90,99,96,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,82,NA,93,72,93,98,87,86,95,67,81,95,NA,NA,90,81,83,72,69,86,78,NA,NA,96,76,98,76,80,75,88,90,93,NA,79,83,82,NA,92,81,88,92,NA,NA,NA,80,83,NA,73,69,NA,NA,NA,NA,80,NA,NA,NA,75,NA,NA,82,NA,NA,66,93,NA,NA,NA,NA,89,81,NA,76,NA,NA,NA,NA,NA,82,NA,82,NA,NA,74,NA,85,82,NA,NA,NA,NA,NA,51,NA,75,NA,NA,NA,NA,NA,71,NA,NA,81,NA,82,NA,94,80,NA,91,NA,NA,98,NA,78,NA,NA,NA,NA,NA,NA,77,85,NA,NA,69,NA,NA,70,NA,59,NA,NA,NA,NA,NA,71,NA,65,NA,NA,NA,80,NA,67,NA,79,NA,80,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,55,NA,NA,NA,64,NA,NA,NA,NA,74,83,79,NA,NA,NA,NA,NA,82,NA,NA,64,69,NA,NA,NA,75,NA,NA,84,NA,NA,NA,NA,NA,76,70,NA,NA,81,87,NA,95,NA,NA,NA,NA,82,NA,72,NA,75,94,82,NA,NA,NA,NA,NA,44,69,NA,NA,92,100,94,NA,88,73,NA,NA,93,85,86,81
CU928160,NA,90,67,75,88,89,94,NA,90,98,95,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,86,93,78,98,99,89,86,96,NA,81,99,NA,91,81,86,84,73,72,87,78,NA,NA,96,74,98,87,92,75,88,92,94,NA,83,82,87,NA,92,81,88,92,NA,NA,NA,84,80,NA,75,66,NA,NA,NA,NA,83,NA,NA,NA,80,NA,NA,NA,NA,NA,78,100,NA,NA,NA,NA,89,82,NA,NA,NA,NA,NA,NA,NA,81,NA,84,74,NA,77,NA,86,80,NA,NA,NA,NA,NA,61,NA,71,NA,NA,NA,NA,NA,79,NA,NA,71,NA,79,NA,94,79,NA,97,NA,NA,98,NA,85,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,70,NA,69,72,NA,67,72,NA,NA,NA,NA,61,NA,59,58,NA,NA,79,NA,80,NA,NA,NA,83,NA,NA,64,NA,NA,NA,65,NA,NA,NA,NA,75,NA,86,56,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,74,84,60,NA,NA,NA,NA,NA,NA,NA,NA,65,76,67,78,NA,78,NA,NA,85,NA,NA,NA,NA,NA,80,72,NA,NA,85,86,NA,95,NA,NA,NA,87,NA,NA,74,NA,73,94,89,77,NA,NA,NA,NA,57,57,NA,81,91,100,89,NA,88,70,NA,NA,94,85,81,81
CU928161,NA,90,65,75,87,88,94,NA,90,98,95,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,86,93,75,97,98,89,86,96,NA,82,99,NA,90,79,82,83,73,68,83,78,NA,84,96,71,98,87,92,75,88,92,94,NA,83,83,87,NA,91,80,88,92,NA,71,NA,87,74,NA,73,69,NA,NA,81,NA,77,78,NA,NA,80,NA,91,71,NA,NA,79,100,NA,NA,NA,NA,86,81,NA,77,NA,NA,NA,NA,NA,83,NA,82,NA,NA,76,NA,86,75,NA,NA,NA,NA,NA,52,82,60,NA,NA,NA,NA,NA,78,NA,NA,82,NA,78,NA,94,79,NA,97,NA,NA,98,NA,85,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,71,NA,NA,70,NA,NA,75,NA,NA,NA,NA,61,NA,73,59,NA,NA,80,NA,68,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,76,NA,84,58,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,75,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,70,NA,NA,74,NA,NA,85,NA,NA,NA,NA,NA,71,74,NA,NA,84,88,NA,95,NA,NA,NA,87,92,NA,72,NA,74,93,85,NA,NA,NA,NA,NA,52,63,75,81,91,100,92,NA,88,70,NA,NA,94,85,85,81
CU928162,NA,90,64,75,87,88,94,NA,90,98,95,92,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,86,93,78,97,98,89,86,96,NA,82,99,NA,90,79,86,83,73,68,83,78,NA,NA,96,71,98,87,92,75,88,92,94,NA,83,81,87,NA,91,80,88,92,NA,71,NA,87,77,NA,73,68,NA,NA,94,NA,77,78,NA,NA,80,NA,84,69,NA,NA,79,100,80,NA,NA,NA,86,81,NA,75,NA,NA,NA,NA,NA,83,NA,82,NA,NA,76,NA,86,75,NA,NA,NA,99,NA,52,81,68,NA,NA,NA,NA,NA,80,NA,NA,82,NA,78,NA,94,79,NA,96,98,NA,98,NA,86,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,71,NA,72,70,NA,NA,75,NA,NA,NA,NA,61,NA,73,59,NA,NA,80,NA,68,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,75,NA,85,58,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,85,54,NA,NA,NA,NA,49,NA,NA,NA,NA,75,69,NA,NA,74,NA,NA,85,NA,NA,NA,NA,NA,71,71,63,NA,83,88,NA,94,NA,NA,NA,87,100,NA,NA,NA,73,94,85,NA,NA,NA,NA,NA,53,55,NA,81,91,100,92,NA,88,72,NA,NA,94,85,85,81
CU928163,NA,88,63,75,88,89,94,NA,90,98,95,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,82,86,93,74,97,99,89,86,96,NA,81,100,NA,91,81,84,83,73,68,88,78,NA,84,96,71,98,87,91,75,88,92,94,NA,83,80,87,NA,92,81,88,92,NA,NA,NA,79,80,NA,75,69,NA,NA,78,NA,77,NA,NA,NA,80,NA,80,82,NA,NA,78,100,80,NA,NA,NA,90,82,58,75,NA,NA,NA,NA,NA,81,NA,74,79,NA,77,NA,86,80,NA,NA,NA,NA,NA,53,NA,69,NA,NA,NA,NA,NA,80,NA,NA,83,NA,78,NA,94,79,NA,97,NA,NA,98,NA,85,NA,63,NA,NA,NA,NA,NA,88,NA,NA,72,NA,69,76,NA,NA,72,NA,NA,NA,NA,61,NA,69,NA,NA,NA,82,NA,66,NA,NA,NA,76,NA,NA,63,NA,NA,NA,65,NA,NA,NA,NA,75,NA,86,59,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,65,NA,NA,NA,64,NA,NA,NA,NA,77,84,53,NA,NA,NA,NA,NA,NA,NA,NA,66,77,69,NA,NA,74,NA,NA,85,NA,NA,NA,NA,NA,81,71,NA,NA,83,87,NA,95,NA,NA,NA,87,92,NA,74,NA,74,94,89,79,NA,NA,NA,NA,47,56,75,78,92,100,89,NA,88,89,NA,NA,93,85,81,81
CU928164,NA,90,69,NA,88,89,94,NA,90,98,95,93,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,82,86,93,74,97,99,89,86,96,NA,81,100,NA,91,NA,85,84,75,71,87,78,NA,NA,96,71,98,87,92,74,88,92,94,NA,83,79,87,NA,92,81,88,92,NA,66,NA,82,77,NA,74,NA,NA,NA,74,NA,78,NA,NA,NA,80,NA,64,70,NA,69,78,100,NA,NA,NA,NA,89,80,NA,77,NA,NA,NA,NA,NA,82,NA,82,NA,NA,77,NA,86,75,NA,NA,NA,NA,NA,52,81,73,NA,NA,NA,NA,NA,80,NA,NA,81,NA,77,NA,94,79,NA,97,NA,NA,98,NA,86,NA,NA,NA,NA,NA,89,NA,87,NA,NA,71,NA,70,80,NA,NA,NA,NA,NA,NA,NA,61,NA,49,NA,NA,NA,78,NA,65,NA,NA,NA,68,NA,NA,64,NA,NA,NA,65,NA,NA,NA,NA,74,NA,86,59,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,76,84,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,69,NA,NA,74,NA,NA,85,NA,NA,NA,NA,NA,70,71,NA,NA,83,87,NA,95,NA,NA,NA,80,81,NA,73,NA,75,94,89,NA,NA,NA,NA,NA,54,72,75,79,91,100,89,NA,88,72,NA,NA,94,85,81,81
